x,won,lost,n_gold,final_cycle
20,1,1,0,5787
20,1,1,0,5756
20,1,1,0,5750
20,1,1,0,5753
20,0,1,2,3774
20,1,1,0,3768
20,1,0,0,3698
20,0,1,2,3777
20,1,0,0,2942
20,0,1,2,3019
20,0,1,1,3009
20,1,1,0,3017
20,1,1,0,1628
20,1,1,0,1636
20,0,1,2,1669
20,0,1,2,1668
20,1,1,0,1326
20,0,1,2,1320
20,0,1,1,1327
20,0,1,2,1326
25,0,1,2,16545
25,0,1,2,16593
25,1,1,0,16564
25,0,1,1,16551
25,0,1,1,14911
25,1,1,0,14886
25,1,1,0,14881
25,0,1,1,14924
25,0,1,1,13562
25,0,1,1,13590
25,1,1,0,13587
25,1,0,0,13461
25,0,1,2,3512
25,1,0,0,3465
25,0,1,1,3513
25,0,1,1,3515
25,0,1,2,1155
25,0,1,1,1152
25,1,0,0,1140
25,0,1,2,1141
30,1,1,0,23949
30,0,1,1,24103
30,1,1,0,24138
30,1,1,0,23948
30,0,1,2,21506
30,1,1,0,21425
30,0,1,1,21411
30,1,1,0,21217
30,0,1,1,15653
30,1,1,0,15661
30,1,1,0,15556
30,1,1,0,15524
30,0,1,1,12975
30,0,1,1,12953
30,1,1,0,12984
30,0,0,1,12889
30,1,1,0,2907
30,1,0,0,2905
30,1,0,0,2900
30,1,0,0,2904
35,1,1,0,36589
35,0,1,2,36781
35,0,1,2,36930
35,1,1,0,36727
35,0,1,2,32416
35,0,1,1,32450
35,0,1,1,32451
35,0,1,2,32421
35,0,1,1,22367
35,1,1,0,22279
35,0,1,2,22376
35,0,1,1,22399
35,1,1,0,17171
35,1,1,0,17176
35,0,1,1,17174
35,1,1,0,17177
35,0,1,1,9659
35,1,1,0,9660
35,0,1,2,9658
35,0,1,2,9662
40,1,1,0,32116
40,0,1,1,32208
40,0,1,2,32170
40,1,1,0,32084
40,1,1,0,22165
40,0,1,2,22067
40,1,1,0,22192
40,1,1,0,22161
40,0,1,1,17358
40,0,1,2,17406
40,1,1,0,17322
40,0,1,1,17319
40,0,1,2,10160
40,0,1,1,10105
40,1,1,0,10113
40,1,1,0,10097
40,0,1,2,4905
40,1,0,0,4791
40,0,1,2,4799
40,1,0,0,4802
45,0,1,1,37915
45,1,1,0,38014
45,1,1,0,38027
45,0,1,1,37967
45,1,0,0,31675
45,1,1,0,31683
45,1,1,0,31816
45,1,1,0,31887
45,0,1,2,22032
45,1,0,0,21885
45,0,1,1,22044
45,1,1,0,22024
45,0,1,2,13535
45,1,1,0,13562
45,0,1,1,13554
45,0,1,2,13582
45,1,0,0,9039
45,1,0,0,9060
45,1,0,0,9054
45,1,0,0,9046
50,1,1,0,46382
50,1,1,0,46805
50,1,1,0,46678
50,1,1,0,46859
50,1,1,0,37801
50,1,1,0,37685
50,1,0,0,37435
50,0,1,2,37852
50,0,1,2,27787
50,0,1,1,27768
50,0,1,1,27734
50,0,1,1,27664
50,0,1,1,17730
50,0,1,2,17560
50,1,1,0,17626
50,0,1,1,17630
50,0,1,2,10117
50,1,1,0,10012
50,0,1,1,10005
50,0,0,1,10001
