weight,won,lost,n_gold,final_cycle
0.55,1,1,0,5894
0.55,0,1,2,5889
0.55,0,1,1,5869
0.55,1,1,0,5896
0.55,0,1,1,4943
0.55,1,1,0,4952
0.55,0,1,1,4948
0.55,0,1,2,4964
0.55,0,1,2,3653
0.55,0,1,2,3640
0.55,0,1,1,3652
0.55,0,1,2,3636
0.55,1,1,0,1956
0.55,1,1,0,1985
0.55,0,1,1,2002
0.55,0,1,2,2006
0.55,0,1,1,1306
0.55,1,1,0,1307
0.55,1,1,0,1302
0.55,0,1,1,1308
0.6000000000000001,0,1,1,7582
0.6000000000000001,0,1,1,7581
0.6000000000000001,1,1,0,7596
0.6000000000000001,0,1,2,7618
0.6000000000000001,0,1,2,4377
0.6000000000000001,0,1,2,4372
0.6000000000000001,0,1,1,4359
0.6000000000000001,1,1,0,4381
0.6000000000000001,0,1,2,3059
0.6000000000000001,0,1,2,3056
0.6000000000000001,1,1,0,3043
0.6000000000000001,0,1,2,3073
0.6000000000000001,0,1,1,2605
0.6000000000000001,0,1,1,2596
0.6000000000000001,0,1,2,2603
0.6000000000000001,0,1,2,2634
0.6000000000000001,0,1,2,825
0.6000000000000001,0,1,1,842
0.6000000000000001,0,1,1,827
0.6000000000000001,0,1,1,821
0.6500000000000001,0,1,1,7529
0.6500000000000001,1,1,0,7482
0.6500000000000001,0,1,2,7507
0.6500000000000001,0,1,2,7501
0.6500000000000001,1,1,0,7110
0.6500000000000001,0,1,2,7164
0.6500000000000001,0,1,1,7129
0.6500000000000001,0,1,1,7149
0.6500000000000001,1,1,0,5689
0.6500000000000001,0,1,1,5810
0.6500000000000001,0,1,2,5822
0.6500000000000001,0,1,1,5829
0.6500000000000001,1,1,0,3553
0.6500000000000001,1,1,0,3567
0.6500000000000001,1,0,0,3553
0.6500000000000001,1,1,0,3551
0.6500000000000001,1,1,0,1167
0.6500000000000001,0,1,1,1168
0.6500000000000001,0,1,2,1164
0.6500000000000001,0,1,1,1162
0.7000000000000002,0,1,2,6170
0.7000000000000002,0,1,2,6128
0.7000000000000002,1,1,0,6091
0.7000000000000002,0,1,2,6117
0.7000000000000002,0,1,2,4279
0.7000000000000002,1,1,0,4210
0.7000000000000002,0,1,2,4273
0.7000000000000002,1,1,0,4262
0.7000000000000002,1,1,0,3695
0.7000000000000002,1,1,0,3641
0.7000000000000002,0,1,2,3692
0.7000000000000002,0,1,2,3693
0.7000000000000002,0,1,1,2731
0.7000000000000002,0,1,1,2735
0.7000000000000002,0,1,1,2731
0.7000000000000002,0,1,1,2735
0.7000000000000002,0,1,2,1124
0.7000000000000002,0,1,1,1124
0.7000000000000002,0,1,1,1124
0.7000000000000002,0,1,2,1127
0.7500000000000002,1,1,0,8017
0.7500000000000002,0,1,2,8074
0.7500000000000002,1,1,0,8068
0.7500000000000002,1,1,0,8114
0.7500000000000002,0,1,2,6669
0.7500000000000002,0,1,2,6670
0.7500000000000002,1,1,0,6693
0.7500000000000002,0,1,1,6671
0.7500000000000002,0,1,2,4832
0.7500000000000002,1,1,0,4819
0.7500000000000002,0,1,1,4835
0.7500000000000002,0,1,2,4836
0.7500000000000002,1,1,0,4109
0.7500000000000002,0,1,2,4130
0.7500000000000002,1,1,0,4102
0.7500000000000002,1,1,0,4138
0.7500000000000002,0,1,2,1846
0.7500000000000002,1,1,0,1837
0.7500000000000002,0,1,2,1833
0.7500000000000002,0,1,1,1838
0.8000000000000003,1,1,0,10503
0.8000000000000003,0,1,1,10486
0.8000000000000003,0,1,2,10469
0.8000000000000003,0,1,1,10476
0.8000000000000003,0,1,2,5381
0.8000000000000003,0,1,1,5344
0.8000000000000003,0,1,1,5357
0.8000000000000003,0,1,1,5346
0.8000000000000003,1,0,0,2991
0.8000000000000003,0,1,2,3078
0.8000000000000003,0,1,2,3077
0.8000000000000003,1,1,0,3058
0.8000000000000003,0,1,1,1971
0.8000000000000003,1,1,0,1976
0.8000000000000003,0,1,2,2010
0.8000000000000003,0,1,2,1989
0.8000000000000003,0,1,2,495
0.8000000000000003,0,1,1,497
0.8000000000000003,0,1,2,495
0.8000000000000003,0,1,2,496
0.8500000000000003,0,1,1,8882
0.8500000000000003,0,1,1,9063
0.8500000000000003,1,1,0,8906
